tick,objective_controller,objective_progress,alive_team_0,alive_team_1,kills_team_0,kills_team_1
1,-1,0.0,15,15,0,0
2,-1,0.0,15,15,0,0
3,-1,0.0,15,15,0,0
4,-1,0.0,15,15,0,0
5,-1,0.0,15,15,0,0
6,-1,0.0,15,15,0,0
7,-1,0.0,15,15,0,0
8,-1,0.0,15,15,0,0
9,-1,0.0,15,15,0,0
10,-1,0.0,14,15,0,1
11,-1,0.0,14,15,0,1
12,-1,0.0,14,15,0,1
13,-1,0.0,14,15,0,1
14,1,0.04,14,14,1,1
15,1,0.08,14,14,1,2
16,1,0.06,13,12,3,3
17,1,0.039999999999999994,13,11,4,3
18,1,0.019999999999999993,12,10,5,4
19,1,0.0,12,10,6,4
20,1,0.0,12,8,8,5
21,1,0.0,13,10,8,5
22,1,0.0,13,9,10,5
23,0,0.04,14,9,11,5
24,0,0.08,14,10,11,5
25,0,0.12,15,12,11,5
26,0,0.16,15,12,11,5
27,0,0.2,15,14,11,5
28,0,0.24000000000000002,15,14,12,5
29,0,0.28,15,14,12,5
30,0,0.32,15,14,12,5
31,0,0.36,15,14,12,5
32,0,0.39999999999999997,15,13,13,5
33,0,0.43999999999999995,14,14,13,6
34,0,0.4799999999999999,13,13,14,7
35,0,0.5199999999999999,13,12,15,7
36,0,0.5599999999999999,12,11,16,8
37,0,0.6,12,12,16,8
38,0,0.64,13,11,17,8
39,0,0.68,14,12,17,8
40,0,0.66,14,12,18,8
41,0,0.7000000000000001,15,13,18,8
42,0,0.7400000000000001,14,11,20,9
43,0,0.7200000000000001,13,12,20,10
44,0,0.7600000000000001,13,11,21,10
45,0,0.8000000000000002,12,12,21,11
46,0,0.8400000000000002,12,11,22,11
47,0,0.8800000000000002,13,12,23,11
48,0,0.9200000000000003,14,10,25,11
49,0,0.9600000000000003,14,11,25,11
50,0,1.0,15,11,25,11
51,0,1.0,14,11,26,12
52,0,1.0,14,12,26,12
53,0,1.0,14,13,27,12
54,0,1.0,13,12,28,13
55,0,1.0,13,11,29,13
56,0,1.0,14,12,29,13
57,0,1.0,13,12,29,14
58,0,1.0,13,12,30,14
59,0,1.0,14,12,31,14
60,0,1.0,13,13,31,15
61,0,1.0,13,12,32,15
62,0,1.0,14,11,33,15
63,0,1.0,14,10,35,15
64,0,1.0,13,11,35,16
65,0,1.0,14,10,36,16
66,0,1.0,14,11,36,16
67,0,1.0,14,11,37,16
68,0,1.0,13,13,37,17
69,0,1.0,14,12,38,17
70,0,1.0,14,13,38,17
71,0,1.0,14,12,39,17
72,0,1.0,13,12,40,18
73,0,1.0,13,12,40,19
74,0,1.0,13,12,41,19
75,0,1.0,13,11,42,19
76,0,1.0,13,11,43,19
77,0,1.0,14,12,43,19
78,0,1.0,15,11,44,19
79,0,1.0,15,11,45,19
80,0,1.0,14,11,46,20
81,0,1.0,12,12,46,22
82,0,1.0,12,11,47,22
83,0,1.0,11,12,47,23
84,0,1.0,10,12,48,24
85,0,0.98,11,12,49,24
86,0,1.0,13,11,50,24
87,0,1.0,13,10,52,24
88,0,1.0,14,9,53,24
89,0,1.0,15,10,53,24
90,0,1.0,15,10,54,24
91,0,1.0,15,11,54,24
92,0,1.0,15,12,55,24
93,0,1.0,15,13,55,24
94,0,1.0,15,12,56,24
95,0,1.0,15,12,57,24
96,0,1.0,15,11,58,24
97,0,1.0,15,11,59,24
98,0,1.0,15,10,60,24
99,0,1.0,15,10,61,24
100,0,1.0,15,10,62,24
101,0,1.0,14,11,62,25
102,0,1.0,14,11,63,25
103,0,1.0,14,11,64,25
104,0,1.0,14,11,65,25
105,0,1.0,14,11,66,25
106,0,1.0,14,11,66,26
107,0,1.0,14,11,67,26
108,0,1.0,14,11,68,26
109,0,1.0,14,12,68,26
110,0,1.0,14,12,69,26
111,0,1.0,14,11,70,27
112,0,1.0,14,12,70,27
113,0,1.0,14,11,72,27
114,0,1.0,14,10,73,27
115,0,1.0,14,9,75,27
116,0,1.0,14,10,75,28
117,0,1.0,14,9,76,28
118,0,1.0,14,10,77,28
119,0,1.0,13,11,77,29
120,0,1.0,13,12,78,29
121,0,1.0,14,11,79,29
122,0,1.0,14,11,80,29
123,0,1.0,14,12,80,29
124,0,1.0,14,11,81,30
125,0,1.0,14,12,81,30
126,0,1.0,14,12,82,30
127,0,1.0,14,12,83,30
128,0,1.0,14,11,84,30
129,0,1.0,15,11,85,30
130,0,1.0,15,10,86,30
131,0,1.0,14,10,87,31
132,0,1.0,13,10,88,32
133,0,1.0,13,11,88,32
134,0,1.0,12,12,88,33
135,0,1.0,12,13,88,33
136,0,1.0,13,13,89,33
137,0,1.0,14,14,89,33
138,0,1.0,14,13,90,33
139,0,1.0,14,13,90,34
140,0,1.0,14,12,91,34
141,0,1.0,14,12,92,34
142,0,1.0,13,12,92,35
143,0,1.0,12,12,93,36
144,0,1.0,13,11,94,36
145,0,1.0,13,11,95,36
146,0,1.0,12,11,96,37
147,0,1.0,13,10,97,37
148,0,1.0,14,10,98,37
149,0,1.0,14,10,99,37
150,0,1.0,14,10,100,37
