tick,objective_controller,objective_progress,alive_team_0,alive_team_1,kills_team_0,kills_team_1
1,-1,0.0,15,15,0,0
2,-1,0.0,15,15,0,0
3,-1,0.0,15,15,0,0
4,-1,0.0,15,15,0,0
5,-1,0.0,15,14,1,0
6,-1,0.0,15,14,1,0
7,-1,0.0,15,14,1,0
8,-1,0.0,15,14,1,0
9,-1,0.0,15,14,1,0
10,-1,0.0,15,15,1,0
11,-1,0.0,15,14,2,0
12,-1,0.0,15,14,2,0
13,-1,0.0,15,14,2,0
14,-1,0.0,15,14,2,0
15,1,0.04,14,14,2,1
16,1,0.02,13,14,3,2
17,1,0.0,12,13,4,3
18,1,0.0,12,13,4,3
19,1,0.0,10,11,6,5
20,1,0.0,11,10,7,5
21,1,0.0,12,10,8,5
22,1,0.0,12,10,9,6
23,1,0.0,11,8,11,7
24,0,0.04,13,9,12,7
25,0,0.08,13,9,13,7
26,0,0.12,13,9,14,7
27,0,0.16,14,9,15,7
28,0,0.2,14,11,15,8
29,0,0.24000000000000002,14,12,15,8
30,0,0.28,14,13,15,8
31,0,0.32,14,13,16,8
32,0,0.36,14,14,16,8
33,0,0.39999999999999997,14,13,17,9
34,0,0.43999999999999995,14,12,18,9
35,0,0.4799999999999999,14,12,18,9
36,0,0.5199999999999999,14,12,19,9
37,0,0.5599999999999999,14,12,19,9
38,0,0.6,15,12,20,9
39,0,0.64,14,13,20,10
40,0,0.68,14,12,21,10
41,0,0.7200000000000001,14,11,23,10
42,0,0.7600000000000001,14,10,24,10
43,0,0.8000000000000002,14,11,24,10
44,0,0.8400000000000002,15,11,24,10
45,0,0.8800000000000002,15,12,24,10
46,0,0.9200000000000003,15,13,25,10
47,0,0.9600000000000003,15,13,26,10
48,0,1.0,15,12,27,10
49,0,1.0,13,12,27,12
50,0,1.0,13,11,28,12
51,0,1.0,13,11,29,12
52,0,1.0,13,11,30,12
53,0,1.0,13,12,30,12
54,0,1.0,15,11,31,12
55,0,1.0,15,11,32,12
56,0,1.0,15,12,32,12
57,0,1.0,15,12,33,12
58,0,1.0,15,11,34,12
59,0,1.0,14,11,35,13
60,0,1.0,14,11,36,13
61,0,1.0,14,11,36,13
62,0,1.0,14,11,37,13
63,0,1.0,14,12,37,13
64,0,1.0,15,12,38,13
65,0,1.0,15,13,38,13
66,0,1.0,15,12,39,13
67,0,1.0,15,13,39,13
68,0,1.0,14,13,39,14
69,0,1.0,14,13,40,14
70,0,1.0,12,12,41,16
71,0,1.0,11,13,41,17
72,0,1.0,11,13,41,17
73,0,1.0,12,12,42,17
74,0,1.0,12,13,42,17
75,0,1.0,14,13,43,17
76,0,1.0,14,13,43,18
77,0,1.0,14,12,44,18
78,0,1.0,14,13,44,18
79,0,1.0,14,11,46,18
80,0,1.0,13,11,47,19
81,0,1.0,14,11,47,19
82,0,1.0,14,11,48,19
83,0,1.0,14,10,49,19
84,0,1.0,14,12,49,19
85,0,1.0,14,12,50,20
86,0,1.0,14,12,50,20
87,0,1.0,13,12,51,21
88,0,1.0,13,13,51,21
89,0,1.0,12,12,52,22
90,0,1.0,13,13,52,22
91,0,1.0,13,13,52,22
92,0,1.0,14,14,52,22
93,0,1.0,14,13,53,22
94,0,1.0,15,13,54,22
95,0,1.0,15,13,54,22
96,0,1.0,15,13,54,22
97,0,1.0,15,12,55,22
98,0,1.0,15,12,56,22
99,0,1.0,15,12,57,22
100,0,1.0,15,12,57,22
101,0,1.0,15,11,58,22
102,0,1.0,15,12,58,22
103,0,1.0,15,11,60,22
104,0,1.0,14,11,61,23
105,0,1.0,14,11,61,23
106,0,1.0,14,11,62,23
107,0,1.0,13,11,62,24
108,0,1.0,13,12,63,24
109,0,1.0,14,12,64,24
110,0,1.0,13,12,64,25
111,0,1.0,13,13,64,25
112,0,1.0,14,11,66,25
113,0,1.0,14,12,66,25
114,0,1.0,14,13,66,25
115,0,1.0,15,12,67,25
116,0,1.0,15,12,67,25
117,0,1.0,15,13,68,25
118,0,1.0,15,13,68,25
119,0,1.0,15,12,69,25
120,0,1.0,15,12,70,25
121,0,1.0,15,11,71,25
122,0,1.0,15,12,71,25
123,0,1.0,15,12,71,25
124,0,1.0,14,12,72,26
125,0,1.0,14,13,72,26
126,0,1.0,14,13,73,26
127,0,1.0,14,12,74,26
128,0,1.0,14,12,74,26
129,0,1.0,15,12,75,26
130,0,1.0,15,11,76,26
131,0,1.0,14,12,76,27
132,0,1.0,13,13,76,28
133,0,1.0,12,11,78,29
134,0,1.0,12,12,78,29
135,0,1.0,12,12,79,29
136,0,1.0,12,11,80,30
137,0,1.0,13,11,80,30
138,0,1.0,14,13,80,30
139,0,1.0,13,12,81,31
140,0,1.0,12,13,81,32
141,0,1.0,13,13,82,32
142,0,1.0,13,12,83,32
143,0,1.0,13,12,83,32
144,0,1.0,13,13,83,33
145,0,1.0,13,11,85,34
146,0,1.0,13,12,85,34
147,0,1.0,13,12,86,34
148,0,1.0,13,12,86,34
149,0,1.0,14,12,86,34
150,0,1.0,15,13,87,34
151,0,1.0,14,13,87,35
